project_id,site_id,datetime,duration,depth_m,Chla_ugl_mean
vera4cast,fcre,2018-08-06 00:00:00.000000Z,P1D,1.6,3.419230769230769
vera4cast,fcre,2018-08-07 00:00:00.000000Z,P1D,1.6,4.012569444444445
vera4cast,fcre,2018-08-08 00:00:00.000000Z,P1D,1.6,6.267430555555555
vera4cast,fcre,2018-08-09 00:00:00.000000Z,P1D,1.6,8.284166666666666
vera4cast,fcre,2018-08-10 00:00:00.000000Z,P1D,1.6,10.891666666666667
vera4cast,fcre,2018-08-11 00:00:00.000000Z,P1D,1.6,13.569097222222222
vera4cast,fcre,2018-08-12 00:00:00.000000Z,P1D,1.6,15.050416666666669
vera4cast,fcre,2018-08-13 00:00:00.000000Z,P1D,1.6,14.069930555555556
vera4cast,fcre,2018-08-14 00:00:00.000000Z,P1D,1.6,10.98048611111111
vera4cast,fcre,2018-08-15 00:00:00.000000Z,P1D,1.6,8.181041666666667
vera4cast,fcre,2018-08-16 00:00:00.000000Z,P1D,1.6,7.14875
vera4cast,fcre,2018-08-17 00:00:00.000000Z,P1D,1.6,6.143472222222222
vera4cast,fcre,2018-08-18 00:00:00.000000Z,P1D,1.6,6.312291666666667
vera4cast,fcre,2018-08-19 00:00:00.000000Z,P1D,1.6,7.773194444444444
vera4cast,fcre,2018-08-20 00:00:00.000000Z,P1D,1.6,8.147094017094018
vera4cast,fcre,2018-08-28 00:00:00.000000Z,P1D,1.6,12.295916666666669
vera4cast,fcre,2018-08-29 00:00:00.000000Z,P1D,1.6,10.769230762237765
vera4cast,fcre,2018-08-30 00:00:00.000000Z,P1D,1.6,9.4954225
vera4cast,fcre,2018-08-31 00:00:00.000000Z,P1D,1.6,8.87354170138889
vera4cast,fcre,2018-09-01 00:00:00.000000Z,P1D,1.6,8.127552461538462
vera4cast,fcre,2018-09-02 00:00:00.000000Z,P1D,1.6,7.290208340277777
vera4cast,fcre,2018-09-03 00:00:00.000000Z,P1D,1.6,5.838041958041958
vera4cast,fcre,2018-09-04 00:00:00.000000Z,P1D,1.6,4.061041666666667
vera4cast,fcre,2018-09-05 00:00:00.000000Z,P1D,1.6,3.783776223776224
vera4cast,fcre,2018-09-06 00:00:00.000000Z,P1D,1.6,3.199583333333333
vera4cast,fcre,2018-09-07 00:00:00.000000Z,P1D,1.6,3.197430555555556
vera4cast,fcre,2018-09-08 00:00:00.000000Z,P1D,1.6,3.522986111111111
vera4cast,fcre,2018-09-09 00:00:00.000000Z,P1D,1.6,4.843263888888889
vera4cast,fcre,2018-09-10 00:00:00.000000Z,P1D,1.6,8.23035211971831
vera4cast,fcre,2018-09-11 00:00:00.000000Z,P1D,1.6,9.30916663888889
vera4cast,fcre,2018-09-12 00:00:00.000000Z,P1D,1.6,8.028041916083916
vera4cast,fcre,2018-09-13 00:00:00.000000Z,P1D,1.6,7.574166659722223
vera4cast,fcre,2018-09-14 00:00:00.000000Z,P1D,1.6,8.078181818181818
vera4cast,fcre,2018-09-15 00:00:00.000000Z,P1D,1.6,8.084055944055944
vera4cast,fcre,2018-09-16 00:00:00.000000Z,P1D,1.6,8.693758858156029
vera4cast,fcre,2018-09-17 00:00:00.000000Z,P1D,1.6,9.527535211267606
vera4cast,fcre,2018-09-18 00:00:00.000000Z,P1D,1.6,10.041063843971632
vera4cast,fcre,2018-09-19 00:00:00.000000Z,P1D,1.6,9.816785692857144
vera4cast,fcre,2018-09-20 00:00:00.000000Z,P1D,1.6,8.711678788321167
vera4cast,fcre,2018-09-21 00:00:00.000000Z,P1D,1.6,8.957832167832168
vera4cast,fcre,2018-09-22 00:00:00.000000Z,P1D,1.6,5.279580412587412
vera4cast,fcre,2018-09-23 00:00:00.000000Z,P1D,1.6,6.169861125
vera4cast,fcre,2018-10-01 00:00:00.000000Z,P1D,1.6,5.785106361702128
vera4cast,fcre,2018-10-02 00:00:00.000000Z,P1D,1.6,5.585000006944444
vera4cast,fcre,2018-10-03 00:00:00.000000Z,P1D,1.6,4.542097902097902
vera4cast,fcre,2018-10-04 00:00:00.000000Z,P1D,1.6,4.178671328671329
vera4cast,fcre,2018-10-05 00:00:00.000000Z,P1D,1.6,4.724375
vera4cast,fcre,2018-10-06 00:00:00.000000Z,P1D,1.6,6.5800694375
vera4cast,fcre,2018-10-07 00:00:00.000000Z,P1D,1.6,5.781875
vera4cast,fcre,2018-10-08 00:00:00.000000Z,P1D,1.6,4.8801398601398605
vera4cast,fcre,2018-10-09 00:00:00.000000Z,P1D,1.6,4.958881104895105
vera4cast,fcre,2018-10-10 00:00:00.000000Z,P1D,1.6,5.804615391608392
vera4cast,fcre,2018-10-11 00:00:00.000000Z,P1D,1.6,5.269097222222222
vera4cast,fcre,2018-10-12 00:00:00.000000Z,P1D,1.6,3.84125
vera4cast,fcre,2018-10-13 00:00:00.000000Z,P1D,1.6,3.389020979020979
vera4cast,fcre,2018-10-14 00:00:00.000000Z,P1D,1.6,3.8205594405594407
vera4cast,fcre,2018-10-15 00:00:00.000000Z,P1D,1.6,2.5365034965034967
vera4cast,fcre,2018-10-16 00:00:00.000000Z,P1D,1.6,3.380909090909091
vera4cast,fcre,2018-10-17 00:00:00.000000Z,P1D,1.6,3.174647887323944
vera4cast,fcre,2018-10-18 00:00:00.000000Z,P1D,1.6,3.9740277777777777
vera4cast,fcre,2018-10-19 00:00:00.000000Z,P1D,1.6,4.022307692307693
vera4cast,fcre,2018-10-20 00:00:00.000000Z,P1D,1.6,5.895625
vera4cast,fcre,2018-10-21 00:00:00.000000Z,P1D,1.6,4.507902097902098
vera4cast,fcre,2018-10-22 00:00:00.000000Z,P1D,1.6,5.434755251748252
vera4cast,fcre,2018-10-23 00:00:00.000000Z,P1D,1.6,7.432152798611111
vera4cast,fcre,2018-10-24 00:00:00.000000Z,P1D,1.6,6.185774640845071
vera4cast,fcre,2018-10-25 00:00:00.000000Z,P1D,1.6,5.675972236111111
vera4cast,fcre,2018-10-26 00:00:00.000000Z,P1D,1.6,4.933546092198582
vera4cast,fcre,2018-10-27 00:00:00.000000Z,P1D,1.6,5.2131944444444445
vera4cast,fcre,2018-10-28 00:00:00.000000Z,P1D,1.6,3.464583333333333
vera4cast,fcre,2018-10-29 00:00:00.000000Z,P1D,1.6,4.23041958041958
vera4cast,fcre,2018-10-30 00:00:00.000000Z,P1D,1.6,4.812307692307693
vera4cast,fcre,2018-10-31 00:00:00.000000Z,P1D,1.6,3.951258734265734
vera4cast,fcre,2018-11-01 00:00:00.000000Z,P1D,1.6,3.30290780141844
vera4cast,fcre,2018-11-02 00:00:00.000000Z,P1D,1.6,4.815815609929078
vera4cast,fcre,2018-11-03 00:00:00.000000Z,P1D,1.6,5.92816902112676
vera4cast,fcre,2018-11-04 00:00:00.000000Z,P1D,1.6,3.4272222222222224
vera4cast,fcre,2018-11-05 00:00:00.000000Z,P1D,1.6,3.8581818181818175
vera4cast,fcre,2018-11-06 00:00:00.000000Z,P1D,1.6,6.405422528169014
vera4cast,fcre,2018-11-07 00:00:00.000000Z,P1D,1.6,4.710559454545455
vera4cast,fcre,2018-11-08 00:00:00.000000Z,P1D,1.6,3.3412587412587413
vera4cast,fcre,2018-11-09 00:00:00.000000Z,P1D,1.6,3.013916083916084
vera4cast,fcre,2018-11-10 00:00:00.000000Z,P1D,1.6,3.4705594405594407
vera4cast,fcre,2018-11-11 00:00:00.000000Z,P1D,1.6,3.4929166666666664
vera4cast,fcre,2018-11-12 00:00:00.000000Z,P1D,1.6,5.833642857142857
vera4cast,fcre,2018-11-13 00:00:00.000000Z,P1D,1.6,6.3022377622377626
vera4cast,fcre,2018-11-14 00:00:00.000000Z,P1D,1.6,6.694142864285714
vera4cast,fcre,2018-11-15 00:00:00.000000Z,P1D,1.6,4.937552447552448
vera4cast,fcre,2018-11-16 00:00:00.000000Z,P1D,1.6,5.088041958041958
vera4cast,fcre,2018-11-17 00:00:00.000000Z,P1D,1.6,3.420555555555556
vera4cast,fcre,2018-11-18 00:00:00.000000Z,P1D,1.6,7.444195797202798
vera4cast,fcre,2018-11-19 00:00:00.000000Z,P1D,1.6,3.2990909090909093
vera4cast,fcre,2018-11-20 00:00:00.000000Z,P1D,1.6,3.2818181818181817
vera4cast,fcre,2018-11-21 00:00:00.000000Z,P1D,1.6,3.7804195804195806
vera4cast,fcre,2018-11-22 00:00:00.000000Z,P1D,1.6,3.9634265734265735
vera4cast,fcre,2018-11-23 00:00:00.000000Z,P1D,1.6,3.662777777777778
vera4cast,fcre,2018-11-24 00:00:00.000000Z,P1D,1.6,3.389305555555556
vera4cast,fcre,2018-11-25 00:00:00.000000Z,P1D,1.6,4.509930076923077
vera4cast,fcre,2018-11-26 00:00:00.000000Z,P1D,1.6,4.463450704225352
vera4cast,fcre,2018-11-27 00:00:00.000000Z,P1D,1.6,5.130208333333333
vera4cast,fcre,2018-11-28 00:00:00.000000Z,P1D,1.6,5.968881118881119
vera4cast,fcre,2018-11-29 00:00:00.000000Z,P1D,1.6,6.212816887323943
vera4cast,fcre,2018-11-30 00:00:00.000000Z,P1D,1.6,7.359295767605634
vera4cast,fcre,2018-12-01 00:00:00.000000Z,P1D,1.6,8.621874993055556
vera4cast,fcre,2018-12-02 00:00:00.000000Z,P1D,1.6,7.649860160839161
vera4cast,fcre,2018-12-03 00:00:00.000000Z,P1D,1.6,6.516503496503496
vera4cast,fcre,2018-12-04 00:00:00.000000Z,P1D,1.6,6.703819444444444
vera4cast,fcre,2018-12-05 00:00:00.000000Z,P1D,1.6,6.965633823943662
vera4cast,fcre,2018-12-06 00:00:00.000000Z,P1D,1.6,7.1054545524475525
vera4cast,fcre,2018-12-07 00:00:00.000000Z,P1D,1.6,6.828741272727273
vera4cast,fcre,2018-12-08 00:00:00.000000Z,P1D,1.6,7.52650348951049
vera4cast,fcre,2018-12-09 00:00:00.000000Z,P1D,1.6,8.356153867132868
vera4cast,fcre,2018-12-10 00:00:00.000000Z,P1D,1.6,7.322499993055556
vera4cast,fcre,2018-12-11 00:00:00.000000Z,P1D,1.6,7.126690154929578
vera4cast,fcre,2018-12-12 00:00:00.000000Z,P1D,1.6,7.686713272727273
vera4cast,fcre,2018-12-13 00:00:00.000000Z,P1D,1.6,8.106180541666667
vera4cast,fcre,2018-12-14 00:00:00.000000Z,P1D,1.6,8.797482524475525
