project_id,site_id,datetime,duration,depth_m,Chla_ugL_mean,Temp_C_mean
vera4cast,bvre,2020-06-25 00:00:00.000000Z,P1D,1.5,4.193103448275863,21.783379310344827
vera4cast,bvre,2020-06-26 00:00:00.000000Z,P1D,1.5,4.619513888888889,22.4973125
vera4cast,bvre,2020-06-27 00:00:00.000000Z,P1D,1.5,3.410833333333333,24.41777083333333
vera4cast,bvre,2020-06-28 00:00:00.000000Z,P1D,1.5,3.6215972222222224,24.75961111111112
vera4cast,bvre,2020-06-29 00:00:00.000000Z,P1D,1.5,3.943055555555556,24.15688888888889
vera4cast,bvre,2020-06-30 00:00:00.000000Z,P1D,1.5,5.062708333333333,23.92313888888889
vera4cast,bvre,2020-07-01 00:00:00.000000Z,P1D,1.5,5.245972222222222,24.060791666666667
vera4cast,bvre,2020-07-02 00:00:00.000000Z,P1D,1.5,5.549928571428572,24.65687857142857
vera4cast,bvre,2020-07-03 00:00:00.000000Z,P1D,1.5,6.042569444444444,24.77351388888889
vera4cast,bvre,2020-07-04 00:00:00.000000Z,P1D,1.5,6.535347222222223,25.137479166666665
vera4cast,bvre,2020-07-05 00:00:00.000000Z,P1D,1.5,6.565763888888889,25.54370833333333
vera4cast,bvre,2020-07-06 00:00:00.000000Z,P1D,1.5,7.21875,25.834215277777776
vera4cast,bvre,2020-07-07 00:00:00.000000Z,P1D,1.5,7.446041666666667,26.18679861111111
vera4cast,bvre,2020-07-08 00:00:00.000000Z,P1D,1.5,7.161041666666667,26.83147222222222
vera4cast,bvre,2020-07-09 00:00:00.000000Z,P1D,1.5,7.579305555555556,27.029847222222223
vera4cast,bvre,2020-07-10 00:00:00.000000Z,P1D,1.5,7.169305555555556,27.095
vera4cast,bvre,2020-07-11 00:00:00.000000Z,P1D,1.5,4.714375,28.0725
vera4cast,bvre,2020-07-12 00:00:00.000000Z,P1D,1.5,4.954027777777778,27.272104166666665
vera4cast,bvre,2020-07-13 00:00:00.000000Z,P1D,1.5,4.796805555555555,26.85183333333333
vera4cast,bvre,2020-07-14 00:00:00.000000Z,P1D,1.5,4.394375,26.935541666666666
vera4cast,bvre,2020-07-15 00:00:00.000000Z,P1D,1.5,4.221805555555555,26.93129861111111
vera4cast,bvre,2020-07-16 00:00:00.000000Z,P1D,1.5,4.1402777777777775,26.997055555555555
vera4cast,bvre,2020-07-17 00:00:00.000000Z,P1D,1.5,3.8688194444444446,27.291527777777777
vera4cast,bvre,2020-07-18 00:00:00.000000Z,P1D,1.5,2.669370629370629,27.550727272727272
vera4cast,bvre,2020-07-19 00:00:00.000000Z,P1D,1.5,2.3144444444444443,28.14825
vera4cast,bvre,2020-07-20 00:00:00.000000Z,P1D,1.5,1.899513888888889,28.70177083333333
vera4cast,bvre,2020-07-21 00:00:00.000000Z,P1D,1.5,2.091111111111111,28.404979166666667
vera4cast,bvre,2020-07-22 00:00:00.000000Z,P1D,1.5,1.895555555555556,28.25304861111111
vera4cast,bvre,2020-07-23 00:00:00.000000Z,P1D,1.5,1.8458741258741256,28.10236363636364
vera4cast,bvre,2020-07-24 00:00:00.000000Z,P1D,1.5,2.0544444444444445,27.80314583333333
vera4cast,bvre,2020-07-25 00:00:00.000000Z,P1D,1.5,2.1644444444444444,27.54048611111111
vera4cast,bvre,2020-07-26 00:00:00.000000Z,P1D,1.5,1.8845833333333333,27.88371527777777
vera4cast,bvre,2020-07-27 00:00:00.000000Z,P1D,1.5,1.58375,28.01742361111111
vera4cast,bvre,2020-07-28 00:00:00.000000Z,P1D,1.5,1.4885416666666669,28.41701388888889
vera4cast,bvre,2020-07-29 00:00:00.000000Z,P1D,1.5,1.7015277777777778,28.341444444444445
vera4cast,bvre,2020-07-30 00:00:00.000000Z,P1D,1.5,1.8165972222222224,28.40905555555556
vera4cast,bvre,2020-07-31 00:00:00.000000Z,P1D,1.5,1.95125,28.4201875
vera4cast,bvre,2020-08-01 00:00:00.000000Z,P1D,1.5,3.955277777777778,27.92399305555556
vera4cast,bvre,2020-08-02 00:00:00.000000Z,P1D,1.5,2.7718055555555554,27.77311805555556
vera4cast,bvre,2020-08-03 00:00:00.000000Z,P1D,1.5,2.904513888888889,27.551756944444445
vera4cast,bvre,2020-08-04 00:00:00.000000Z,P1D,1.5,2.7138194444444443,26.914791666666662
vera4cast,bvre,2020-08-05 00:00:00.000000Z,P1D,1.5,2.3378472222222224,26.929534722222225
vera4cast,bvre,2020-08-06 00:00:00.000000Z,P1D,1.5,2.656830985915493,26.778507042253523
vera4cast,bvre,2020-08-07 00:00:00.000000Z,P1D,1.5,2.8013194444444443,26.53042361111111
vera4cast,bvre,2020-08-08 00:00:00.000000Z,P1D,1.5,2.2845138888888887,26.726819444444445
vera4cast,bvre,2020-08-09 00:00:00.000000Z,P1D,1.5,2.444652777777778,27.13968055555556
vera4cast,bvre,2020-08-10 00:00:00.000000Z,P1D,1.5,2.104861111111111,27.53559027777778
vera4cast,bvre,2020-08-11 00:00:00.000000Z,P1D,1.5,2.0120138888888888,27.617527777777777
vera4cast,bvre,2020-08-12 00:00:00.000000Z,P1D,1.5,2.0356028368794328,27.97189361702128
vera4cast,bvre,2020-08-13 00:00:00.000000Z,P1D,1.5,2.398432835820896,27.7525
vera4cast,bvre,2020-08-14 00:00:00.000000Z,P1D,1.5,3.197887323943662,27.18930281690141
vera4cast,bvre,2020-08-15 00:00:00.000000Z,P1D,1.5,4.80965034965035,26.43408391608392
vera4cast,bvre,2020-08-16 00:00:00.000000Z,P1D,1.5,5.98986013986014,25.19341958041958
vera4cast,bvre,2020-08-17 00:00:00.000000Z,P1D,1.5,4.308613138686131,25.252423357664235
vera4cast,bvre,2020-08-18 00:00:00.000000Z,P1D,1.5,4.559720279720279,25.20393006993007
vera4cast,bvre,2020-08-19 00:00:00.000000Z,P1D,1.5,3.6217605633802816,25.290281690140844
vera4cast,bvre,2020-08-20 00:00:00.000000Z,P1D,1.5,3.818992805755396,25.13851798561151
vera4cast,bvre,2020-08-21 00:00:00.000000Z,P1D,1.5,4.504755244755245,25.21637062937063
